effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,MS_string
fixed,NA,locationArthur River,1.6415570001472044,0.08545327859430193,19.209994363594426,3.052992113601494e-82,1.4740716517415051,1.8090423485529037,1.64 [1.47. 1.81]
fixed,NA,locationTintinara,-0.6818521782330778,0.08016243951975877,-8.505881087426388,1.8022160973278263e-17,-0.8389676726046752,-0.5247366838614803,-0.68 [-0.84. -0.52]
fixed,NA,locationArthur River:days_s,-0.28831233511328225,0.030629233509701058,-9.412979107752285,4.8227009173772935e-21,-0.34834452966636364,-0.22828014056020082,-0.29 [-0.35. -0.23]
fixed,NA,locationTintinara:days_s,-0.1834045393099582,0.019904461176378604,-9.21424286167623,3.1348279073599504e-20,-0.22241656634733603,-0.14439251227258038,-0.18 [-0.22. -0.14]
ran_pars,plot,sd__(Intercept),0.26629444264334334,NA,NA,NA,NA,NA,0.27 [NA. NA]
