Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
Loc + Time + Loc*Time ,5,2240.5645924377727,0,1,0.9556600322398655,-1115.156773206334,0.9556600322398655
Loc + Time ,4,2246.7056239535955,6.14103151582276,0.046397218952654855,0.044339967760134234,-1119.2694786434645,0.9999999999999998
Time,3,2312.809918560241,72.24532612246821,2.0517609546157714e-16,1.9607859400366052e-16,-1153.355166749,1
Loc,3,2411.411183503286,170.84659106551317,7.964052680562512e-38,7.610926841466357e-38,-1202.6557992205226,1
Null model,2,2477.7066243755307,237.14203193775802,3.2008258889768262e-52,3.05890137225379e-52,-1236.8285187993356,1
