term,estimate,std.error,statistic,p.value,conf.low,conf.high,MS_string
w_RR,0.8560348088703026,0.032070257682139135,26.69248302757023,6.29042353561437e-74,0.7936453147697534,0.9212124221207401,0.86 [0.79. 0.92]
h,0.40816623939310187,0.25706787534814785,1.587776142158257,0.11364804529047466,-0.2458921259691404,0.9109377262445525,0.41 [-0.25. 0.91]
initR_A,0.8543173079653695,0.017668424965667236,48.35277109450637,4.841285871060693e-126,0.8190026204027824,0.8890854218144083,0.85 [0.82. 0.89]
initR_T,0.3924033529018068,0.023238358744705624,16.886018380760547,9.606987719996548e-43,0.3463505827960981,0.4377350456273506,0.39 [0.35. 0.44]
