effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,MS_string
fixed,NA,(Intercept),1.6030424193832866,0.0849378294142285,18.873126737975603,1.897329745815023e-79,1.436567332806392,1.7695175059601813,1.60 [1.44. 1.77]
fixed,NA,locationTintinara,-2.1528499660848057,0.1169548185887301,-18.407535423189966,1.143073314921589e-75,-2.3820771983371323,-1.9236227338324792,-2.15 [-2.38. -1.92]
fixed,NA,days_s,-0.23092318163290593,0.018377643241627523,-12.565440442865807,3.27048660499086e-36,-0.2669427005072218,-0.19490366275859006,-0.23 [-0.27. -0.19]
ran_pars,plot,sd__(Intercept),0.2684970150360234,NA,NA,NA,NA,NA,0.27 [NA. NA]
