Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
Loc + Time ,4,1950.9387369846415,0,1,0.7029592487275997,-971.3860351589874,0.7029592487275997
Loc + Time + Loc*Time ,5,1952.661596151438,1.7228591667965247,0.42255756903412445,0.297040751272389,-971.2052750631667,0.9999999999999887
Time,3,2014.4587169671038,63.519979982462246,1.6099470828891762e-14,1.131727191878966e-14,-1004.1795659524315,1
Loc,3,2109.2190492005766,158.28031221593506,4.264488085204265e-35,2.99776134058299e-35,-1051.559732069168,1
Null model,2,2172.781557304885,221.84282032024362,6.721150845118943e-49,4.724695148669684e-49,-1084.3659852640128,1
